"일련번호","시장/마트 번호","시장/마트 이름","품목 번호","품목 이름","실판매규격","가격(원)","년도-월","비고","시장유형 구분(시장/마트) 코드","시장유형 구분(시장/마트) 이름","자치구 코드","자치구 이름","점검일자"
"1636107","226","롯데마트 구로점","28","사과","1개 (300g)","1598","2021-01","국내산,부사","002","대형마트","530000","구로구","2021-01-21"
"1636108","226","롯데마트 구로점","27","배","1개 (600g)","1590","2021-01","국내산,신고","002","대형마트","530000","구로구","2021-01-21"
"1636109","226","롯데마트 구로점","26","배추","1포기(2kg)","3990","2021-01","국내산","002","대형마트","530000","구로구","2021-01-21"
"1636110","226","롯데마트 구로점","25","무","1개 (900g)","1990","2021-01","국내산","002","대형마트","530000","구로구","2021-01-21"
"1636111","226","롯데마트 구로점","24","양파","1개 (200g)","990","2021-01","국내산","002","대형마트","530000","구로구","2021-01-21"
"1636112","226","롯데마트 구로점","23","상추","1봉지(200g)","2490","2021-01","국내산,적상추","002","대형마트","530000","구로구","2021-01-21"
"1636113","226","롯데마트 구로점","22","오이","1개 (200g)","1190","2021-01","국내산,백오이","002","대형마트","530000","구로구","2021-01-21"
"1636114","226","롯데마트 구로점","312","애호박","1개 (300g)","2790","2021-01","국내산,청원","002","대형마트","530000","구로구","2021-01-21"
"1636115","226","롯데마트 구로점","278","쇠고기","100g","9980","2021-01","국내산,한우,치맛살","002","대형마트","530000","구로구","2021-01-21"
"1636116","226","롯데마트 구로점","285","돼지고기","100g","1990","2021-01","국내산,생삼겹살","002","대형마트","530000","구로구","2021-01-21"
"1636117","226","롯데마트 구로점","18","닭고기","1마리(1050g)","7990","2021-01","국내산,생닭","002","대형마트","530000","구로구","2021-01-21"
"1636118","226","롯데마트 구로점","171","달걀(10개)","10개(600g)","2990","2021-01","국내산,특란","002","대형마트","530000","구로구","2021-01-21"
"1636119","226","롯데마트 구로점","320","달걀(30개)","30개(1.8kg)","6990","2021-01","국내산,특란","002","대형마트","530000","구로구","2021-01-21"
"1636120","226","롯데마트 구로점","303","조기","1마리(300g)","4990","2021-01","국내산","002","대형마트","530000","구로구","2021-01-21"
"1636121","226","롯데마트 구로점","302","명태","1마리(600g)","1670","2021-01","수입산,코다리,냉동","002","대형마트","530000","구로구","2021-01-21"
"1636122","226","롯데마트 구로점","253","오징어","1마리(400g)","333","2021-01","국내산,생물","002","대형마트","530000","구로구","2021-01-21"
"1636123","226","롯데마트 구로점","13","고등어","1마리(400g)","5990","2021-01","국내산,생물","002","대형마트","530000","구로구","2021-01-21"
"1631289","1","통인시장","305","사과(부사, 300g)","1개","3000","2021-01","국내산,부사","001","전통시장","110000","종로구","2021-01-28"
"1631290","1","통인시장","306","배(신고, 600g)","1개","4000","2021-01","국내산,신고배","001","전통시장","110000","종로구","2021-01-28"
"1631291","1","통인시장","175","배추(중간)","1포기(2,5kg)","3500","2021-01","국내산,강원도","001","전통시장","110000","종로구","2021-01-28"
"1631292","1","통인시장","274","무(세척무, 중)","1개(1,5kg)","2000","2021-01","국내산,제주","001","전통시장","110000","종로구","2021-01-28"
"1631293","1","통인시장","309","양파(1.5kg망)","1망(1kg)","2000","2021-01","국내산,무안","001","전통시장","110000","종로구","2021-01-28"
"1631294","1","통인시장","310","상추(100g)","400g","4000","2021-01","국내산, 적상추","001","전통시장","110000","종로구","2021-01-28"
"1631295","1","통인시장","22","오이","1개","500","2021-01","국내산,백오이","001","전통시장","110000","종로구","2021-01-28"
"1631296","1","통인시장","119","호박(인큐베이터)","1개(340g)","2000","2021-01","국내산,광양","001","전통시장","110000","종로구","2021-01-28"
"1631297","1","통인시장","58","쇠고기(한우,불고기)","600g2등급","23000","2021-01","국내산,홍성","001","전통시장","110000","종로구","2021-01-28"
"1631298","1","통인시장","99","돼지고기(생삼겹살)","600g","15000","2021-01","국내산,이천","001","전통시장","110000","종로구","2021-01-28"
"1631299","1","통인시장","283","닭고기(육계)","1마리(1200g)","6000","2021-01","국내산,하림","001","전통시장","110000","종로구","2021-01-28"
"1631300","1","통인시장","171","달걀(10개)","10개(600g)","2000","2021-01","국내산,특란","001","전통시장","110000","종로구","2021-01-28"
"1631301","1","통인시장","320","달걀(30개)","30개(1800g)","5000","2021-01","국내산,특란","001","전통시장","110000","종로구","2021-01-28"
"1631302","1","통인시장","260","조기(냉동,수입산)","1마리","7000","2021-01","중국산,부세조기 반건조","001","전통시장","110000","종로구","2021-01-28"
"1631303","1","통인시장","152","명태(러시아,냉동)","1마리","4000","2021-01","러시아 ,동태","001","전통시장","110000","종로구","2021-01-28"
"1631304","1","통인시장","254","오징어(생물,국산)","1마리","5000","2021-01","국내산,생물","001","전통시장","110000","종로구","2021-01-28"
"1631305","1","통인시장","266","고등어(생물,국산)","1마리","5000","2021-01","국내산,생물","001","전통시장","110000","종로구","2021-01-28"
"1631306","55","광장시장","305","사과(부사, 300g)","1개","4000","2021-01","국내산,예산","001","전통시장","110000","종로구","2021-01-28"
"1631307","55","광장시장","306","배(신고, 600g)","1개","5000","2021-01","국내산,김천","001","전통시장","110000","종로구","2021-01-28"
"1631308","55","광장시장","307","배추(2.5~3kg)","1포기(3kg)","4000","2021-01","국내산,강원도","001","전통시장","110000","종로구","2021-01-28"
"1631309","55","광장시장","274","무(세척무, 중)","1개(1,5kg)","2000","2021-01","국내산,강원도","001","전통시장","110000","종로구","2021-01-28"
"1631310","55","광장시장","309","양파(1.5kg망)","1망(1kg)","2000","2021-01","국내산,무안","001","전통시장","110000","종로구","2021-01-28"
"1631311","55","광장시장","310","상추(100g)","400g","4000","2021-01","국내산,적상추","001","전통시장","110000","종로구","2021-01-28"
"1631312","55","광장시장","311","오이(다다기)","1개","600","2021-01","국내산,소양강","001","전통시장","110000","종로구","2021-01-28"
"1631313","55","광장시장","119","호박(인큐베이터)","1개(340g)","2000","2021-01","국내산,양주","001","전통시장","110000","종로구","2021-01-28"
"1631314","55","광장시장","58","쇠고기(한우,불고기)","600g1등급","30000","2021-01","국내산,경기도","001","전통시장","110000","종로구","2021-01-28"
"1631315","55","광장시장","99","돼지고기(생삼겹살)","600g","14000","2021-01","국내산,경기도","001","전통시장","110000","종로구","2021-01-28"
"1631316","55","광장시장","283","닭고기(육계)","1마리(1kg)","6000","2021-01","국내산,하림","001","전통시장","110000","종로구","2021-01-28"
"1631317","55","광장시장","171","달걀(10개)","10개(600g)","2000","2021-01","국내산,특란","001","전통시장","110000","종로구","2021-01-28"
"1631318","55","광장시장","320","달걀(30개)","30개(1800g)","5000","2021-01","국내산,특란","001","전통시장","110000","종로구","2021-01-28"
"1631319","55","광장시장","260","조기(냉동,수입산)","1마리","6000","2021-01","중국산,부세조기","001","전통시장","110000","종로구","2021-01-28"
"1631320","55","광장시장","265","명태(생물,수입산)","1마리","8000","2021-01","수입,일본산","001","전통시장","110000","종로구","2021-01-28"
"1631321","55","광장시장","254","오징어(생물,국산)","1마리","5000","2021-01","국내산,동해안","001","전통시장","110000","종로구","2021-01-28"
"1631322","55","광장시장","304","고등어","1마리","6000","2021-01","국내산,부산","001","전통시장","110000","종로구","2021-01-28"
"1631323","56","롯데백화점","305","사과(부사, 300g)","1개","4000","2021-01","국내산,부사","002","대형마트","140000","중구","2021-01-28"
"1631324","56","롯데백화점","306","배(신고, 600g)","1개","8000","2021-01","국내산, 신고배","002","대형마트","140000","중구","2021-01-28"
"1631325","56","롯데백화점","26","배추","1포기(600g)","2980","2021-01","국내산,쌈배추","002","대형마트","140000","중구","2021-01-28"
"1631326","56","롯데백화점","282","무(세척무)","1개","3980","2021-01","국내산,세척무","002","대형마트","140000","중구","2021-01-28"
"1631327","56","롯데백화점","309","양파(1.5kg망)","1망(1kg)","4580","2021-01","국내산","002","대형마트","140000","중구","2021-01-28"
"1631328","56","롯데백화점","23","상추","150g","2980","2021-01","국내산,적상추","002","대형마트","140000","중구","2021-01-28"
"1631329","56","롯데백화점","311","오이(다다기)","1개","1390","2021-01","국내산,백오이","002","대형마트","140000","중구","2021-01-28"
"1631330","56","롯데백화점","312","애호박","1개","2580","2021-01","국내산,진주","002","대형마트","140000","중구","2021-01-28"
"1631331","56","롯데백화점","131","쇠고기(한우1등급)","100g1등급","6800","2021-01","국내산,한우 불고기","002","대형마트","140000","중구","2021-01-28"
"1631332","56","롯데백화점","99","돼지고기(생삼겹살)","100g","3490","2021-01","국내산,삼겹살","002","대형마트","140000","중구","2021-01-28"
"1631333","56","롯데백화점","283","닭고기(육계)","1마리(800g)","6900","2021-01","국내산,참프레","002","대형마트","140000","중구","2021-01-28"
"1631334","56","롯데백화점","171","달걀(10개)","10개(520g)","5980","2021-01","국내산,더안심유정란","002","대형마트","140000","중구","2021-01-28"
"1631335","56","롯데백화점","320","달걀(30개)","30개(1560g)","15700","2021-01","국내산,동물복지 목초란","002","대형마트","140000","중구","2021-01-28"
"1631336","56","롯데백화점","136","조기(국산,생물)","1마리","10000","2021-01","국내산,백조기","002","대형마트","140000","중구","2021-01-28"
"1631337","56","롯데백화점","265","명태(생물,수입산)","1마리","0","2021-01","입고안됨","002","대형마트","140000","중구","2021-01-28"
"1631338","56","롯데백화점","254","오징어(생물,국산)","1마리","10000","2021-01","국내산,생물","002","대형마트","140000","중구","2021-01-28"
"1631339","56","롯데백화점","266","고등어(생물,국산)","1마리","10000","2021-01","국내산,생물","002","대형마트","140000","중구","2021-01-28"
"1631340","2","신세계백화점","305","사과(부사, 300g)","1개","5400","2021-01","국내산,GAP,사과","002","대형마트","140000","중구","2021-01-28"
"1631341","2","신세계백화점","306","배(신고, 600g)","1개","7800","2021-01","국내산,신고배","002","대형마트","140000","중구","2021-01-28"
"1631342","2","신세계백화점","307","배추(2.5~3kg)","1포기(2,5kg)","4980","2021-01","국내산","002","대형마트","140000","중구","2021-01-28"
"1631343","2","신세계백화점","133","무(세척무)","1개(1,5kg)","3500","2021-01","국내산","002","대형마트","140000","중구","2021-01-28"
"1631344","2","신세계백화점","24","양파","1kg","4500","2021-01","국내산,","002","대형마트","140000","중구","2021-01-28"
"1631345","2","신세계백화점","23","상추","150g","2980","2021-01","국내산,적상추","002","대형마트","140000","중구","2021-01-28"
"1631346","2","신세계백화점","311","오이(다다기)","1개","2250","2021-01","국내산,백오이","002","대형마트","140000","중구","2021-01-28"
"1631347","2","신세계백화점","119","호박(인큐베이터)","1마리(340g)","2500","2021-01","국내산,광양","002","대형마트","140000","중구","2021-01-28"
"1631348","2","신세계백화점","58","쇠고기(한우,불고기)","100g","5600","2021-01","국내산,부위혼합","002","대형마트","140000","중구","2021-01-28"
"1631349","2","신세계백화점","202","돼지고기(생삼겹살)","100g","3880","2021-01","국내산,신진포크","002","대형마트","140000","중구","2021-01-28"
"1631350","2","신세계백화점","283","닭고기(육계)","1마리(1100g)","15000","2021-01","국내산,하림토종닭","002","대형마트","140000","중구","2021-01-28"
"1631351","2","신세계백화점","171","달걀(10개)","10개(520g)","5980","2021-01","국내산,더안심유정란","002","대형마트","140000","중구","2021-01-28"
"1631352","2","신세계백화점","320","달걀(30개)","30개(1560g)","15960","2021-01","국내산,더안심유정란","002","대형마트","140000","중구","2021-01-28"
"1631353","2","신세계백화점","303","조기","1마리","8400","2021-01","국내산,참조기반건조","002","대형마트","140000","중구","2021-01-28"
"1631354","2","신세계백화점","265","명태(생물,수입산)","1마리","0","2021-01","입고안됨","002","대형마트","140000","중구","2021-01-28"
"1631355","2","신세계백화점","254","오징어(생물,국산)","1마리","8000","2021-01","국내산,생물","002","대형마트","140000","중구","2021-01-28"
"1631356","2","신세계백화점","266","고등어(생물,국산)","1마리","4980","2021-01","국내산,생물","002","대형마트","140000","중구","2021-01-28"
"1631357","11","남대문시장","305","사과(부사, 300g)","1개","1650","2021-01","국내,햇사과","001","전통시장","140000","중구","2021-01-28"
"1631358","11","남대문시장","284","배(중품)","1개","4000","2021-01","국내 신고 ","001","전통시장","140000","중구","2021-01-28"
"1631359","11","남대문시장","271","배추(중간)","1포기(중간)","3000","2021-01","국내 햇배추","001","전통시장","140000","중구","2021-01-28"
"1631360","11","남대문시장","133","무(세척무)","1개","1500","2021-01","국내 햇무","001","전통시장","140000","중구","2021-01-28"
"1631361","11","남대문시장","309","양파(1.5kg망)","1망 1.5kg","3700","2021-01","국내,1.5kg 1망","001","전통시장","140000","중구","2021-01-28"
"1631362","11","남대문시장","310","상추(100g)","100g","1150","2021-01","국내,적상추","001","전통시장","140000","중구","2021-01-28"
"1631363","11","남대문시장","311","오이(다다기)","1개","1100","2021-01","국내 다다기","001","전통시장","140000","중구","2021-01-28"
"1631364","11","남대문시장","118","호박(인큐베이터),중간","1개","1550","2021-01","국내,인큐베이터","001","전통시장","140000","중구","2021-01-28"
"1631365","11","남대문시장","58","쇠고기(한우,불고기)","1근","34000","2021-01","국내,불고기 한우","001","전통시장","140000","중구","2021-01-28"
"1631366","11","남대문시장","99","돼지고기(생삼겹살)","1근","12000","2021-01","국내,삼겹살","001","전통시장","140000","중구","2021-01-28"
"1631367","11","남대문시장","18","닭고기","1마리","6500","2021-01","국내 생닭","001","전통시장","140000","중구","2021-01-28"
"1631368","11","남대문시장","171","달걀(10개)","10개","2200","2021-01","국내,특란","001","전통시장","140000","중구","2021-01-28"
"1631369","11","남대문시장","320","달걀(30개)","30개","5200","2021-01","국내,왕란","001","전통시장","140000","중구","2021-01-28"
"1631370","11","남대문시장","260","조기(냉동,수입산)","1마리","4000","2021-01","수입 부세","001","전통시장","140000","중구","2021-01-28"
"1631371","11","남대문시장","152","명태(러시아,냉동)","1마리","3500","2021-01","수입 러시아 냉동","001","전통시장","140000","중구","2021-01-28"
"1631372","11","남대문시장","253","오징어","1마리","4500","2021-01","국내 생물","001","전통시장","140000","중구","2021-01-28"
"1631373","11","남대문시장","304","고등어","1마리","3000","2021-01","국내 생물","001","전통시장","140000","중구","2021-01-28"
"1631374","199","서울중앙시장","305","사과(부사, 300g)","1개","1600","2021-01","국내,햇사과","001","전통시장","140000","중구","2021-01-28"
"1631375","199","서울중앙시장","284","배(중품)","1개","4000","2021-01","국내 신고 ","001","전통시장","140000","중구","2021-01-28"
"1631376","199","서울중앙시장","271","배추(중간)","1포기(중간)","3000","2021-01","국내 햇배추","001","전통시장","140000","중구","2021-01-28"
"1631377","199","서울중앙시장","133","무(세척무)","1개","1500","2021-01","국내 햇무","001","전통시장","140000","중구","2021-01-28"
"1631378","199","서울중앙시장","309","양파(1.5kg망)","1망 1.5kg","3650","2021-01","국내,1.5kg 1망","001","전통시장","140000","중구","2021-01-28"
"1631379","199","서울중앙시장","310","상추(100g)","100g","1100","2021-01","국내,적상추","001","전통시장","140000","중구","2021-01-28"
"1631380","199","서울중앙시장","311","오이(다다기)","1개","1100","2021-01","국내 다다기","001","전통시장","140000","중구","2021-01-28"
"1631381","199","서울중앙시장","118","호박(인큐베이터),중간","1개","1500","2021-01","국내,인큐베이터","001","전통시장","140000","중구","2021-01-28"
"1631382","199","서울중앙시장","58","쇠고기(한우,불고기)","1근","33500","2021-01","국내,불고기 한우","001","전통시장","140000","중구","2021-01-28"
"1631383","199","서울중앙시장","99","돼지고기(생삼겹살)","1근","11500","2021-01","국내,삼겹살","001","전통시장","140000","중구","2021-01-28"
"1631384","199","서울중앙시장","18","닭고기","1마리","6500","2021-01","국내 생닭","001","전통시장","140000","중구","2021-01-28"
"1631385","199","서울중앙시장","171","달걀(10개)","10개","2000","2021-01","국내,특란","001","전통시장","140000","중구","2021-01-28"
"1631386","199","서울중앙시장","320","달걀(30개)","30개","5000","2021-01","국내,왕란","001","전통시장","140000","중구","2021-01-28"
"1631387","199","서울중앙시장","260","조기(냉동,수입산)","1마리","4000","2021-01","수입 부세","001","전통시장","140000","중구","2021-01-28"
"1631388","199","서울중앙시장","152","명태(러시아,냉동)","1마리","3500","2021-01","수입 러시아 냉동","001","전통시장","140000","중구","2021-01-28"
"1631389","199","서울중앙시장","253","오징어","1마리","4500","2021-01","국내 생물","001","전통시장","140000","중구","2021-01-28"
"1631390","199","서울중앙시장","304","고등어","1마리","3000","2021-01","국내 생물","001","전통시장","140000","중구","2021-01-28"
"1631391","60","이마트 청계점","305","사과(부사, 300g)","1개","1800","2021-01","국내,햇사과","002","대형마트","140000","중구","2021-01-28"
"1631392","60","이마트 청계점","284","배(중품)","1개","4000","2021-01","국내 신고 ","002","대형마트","140000","중구","2021-01-28"
"1631393","60","이마트 청계점","271","배추(중간)","1포기(중간)","2580","2021-01","국내 햇배추","002","대형마트","140000","중구","2021-01-28"
"1631394","60","이마트 청계점","133","무(세척무)","1개","1580","2021-01","국내 햇무","002","대형마트","140000","중구","2021-01-28"
"1631395","60","이마트 청계점","309","양파(1.5kg망)","1망 1.5kg","3900","2021-01","국내,1.5kg 1망","002","대형마트","140000","중구","2021-01-28"
"1631396","60","이마트 청계점","23","상추","100g","1240","2021-01","국내,적상추","002","대형마트","140000","중구","2021-01-28"
"1631397","60","이마트 청계점","311","오이(다다기)","1개","1130","2021-01","국내 다다기","002","대형마트","140000","중구","2021-01-28"
"1631398","60","이마트 청계점","118","호박(인큐베이터),중간","1개","1980","2021-01","국내,인큐베이터","002","대형마트","140000","중구","2021-01-28"
"1631399","60","이마트 청계점","58","쇠고기(한우,불고기)","1근","33000","2021-01","국내,불고기 한우","002","대형마트","140000","중구","2021-01-28"
"1631400","60","이마트 청계점","99","돼지고기(생삼겹살)","1근","12000","2021-01","국내,삼겹살","002","대형마트","140000","중구","2021-01-28"
"1631401","60","이마트 청계점","18","닭고기","1마리","6250","2021-01","국내 생닭","002","대형마트","140000","중구","2021-01-28"
"1631402","60","이마트 청계점","171","달걀(10개)","10개","2980","2021-01","국내,특란","002","대형마트","140000","중구","2021-01-28"
"1631403","60","이마트 청계점","320","달걀(30개)","30개","5980","2021-01","국내,왕란","002","대형마트","140000","중구","2021-01-28"
"1631404","60","이마트 청계점","258","조기(생물,국산)","1마리","4980","2021-01","수입 부세","002","대형마트","140000","중구","2021-01-28"
"1631405","60","이마트 청계점","152","명태(러시아,냉동)","1마리","3990","2021-01","수입 러시아 냉동","002","대형마트","140000","중구","2021-01-28"
"1631406","60","이마트 청계점","253","오징어","1마리","6500","2021-01","국내 생물","002","대형마트","140000","중구","2021-01-28"
"1631407","60","이마트 청계점","304","고등어","1마리","3580","2021-01","국내 생물","002","대형마트","140000","중구","2021-01-28"
"1631408","8","롯데마트 서울역점","305","사과(부사, 300g)","1개","1800","2021-01","국내,햇사과","002","대형마트","140000","중구","2021-01-28"
"1631409","8","롯데마트 서울역점","284","배(중품)","1개","4000","2021-01","국내 신고 ","002","대형마트","140000","중구","2021-01-28"
"1631410","8","롯데마트 서울역점","271","배추(중간)","1포기(중간)","1880","2021-01","국내 햇배추","002","대형마트","140000","중구","2021-01-28"
"1631411","8","롯데마트 서울역점","133","무(세척무)","1개","1680","2021-01","국내 햇무","002","대형마트","140000","중구","2021-01-28"
"1631412","8","롯데마트 서울역점","309","양파(1.5kg망)","1망 1.5kg","3880","2021-01","국내,1.5kg 1망","002","대형마트","140000","중구","2021-01-28"
"1631413","8","롯데마트 서울역점","23","상추","100g","1200","2021-01","국내,적상추","002","대형마트","140000","중구","2021-01-28"
"1631414","8","롯데마트 서울역점","311","오이(다다기)","1개","1280","2021-01","국내 다다기","002","대형마트","140000","중구","2021-01-28"
"1631415","8","롯데마트 서울역점","118","호박(인큐베이터),중간","1개","1980","2021-01","국내,인큐베이터","002","대형마트","140000","중구","2021-01-28"
"1631416","8","롯데마트 서울역점","58","쇠고기(한우,불고기)","1근","34000","2021-01","국내,불고기 한우","002","대형마트","140000","중구","2021-01-28"
"1631417","8","롯데마트 서울역점","99","돼지고기(생삼겹살)","1근","11800","2021-01","국내,삼겹살","002","대형마트","140000","중구","2021-01-28"
"1631418","8","롯데마트 서울역점","18","닭고기","1마리","6250","2021-01","국내 생닭","002","대형마트","140000","중구","2021-01-28"
"1631419","8","롯데마트 서울역점","171","달걀(10개)","10개","2980","2021-01","국내,특란","002","대형마트","140000","중구","2021-01-28"
"1631420","8","롯데마트 서울역점","320","달걀(30개)","30개","5980","2021-01","국내,왕란","002","대형마트","140000","중구","2021-01-28"
"1631421","8","롯데마트 서울역점","258","조기(생물,국산)","1마리","3800","2021-01","수입 부세","002","대형마트","140000","중구","2021-01-28"
"1631422","8","롯데마트 서울역점","152","명태(러시아,냉동)","1마리","3800","2021-01","수입 러시아 냉동","002","대형마트","140000","중구","2021-01-28"
"1631423","8","롯데마트 서울역점","253","오징어","1마리","5980","2021-01","국내 생물","002","대형마트","140000","중구","2021-01-28"
"1631424","8","롯데마트 서울역점","304","고등어","1마리","3300","2021-01","국내 생물","002","대형마트","140000","중구","2021-01-28"
"1631425","6","이마트 용산점","305","사과(부사, 300g)","1팩 5~6","9980","2021-01","국내산밀양 얼음골","002","대형마트","170000","용산구","2021-01-28"
