일련번호,시장/마트 번호,시장/마트 이름,품목 번호,품목 이름,실판매규격,가격(원),년도-월,비고,시장유형 구분(시장/마트) 코드,시장유형 구분(시장/마트) 이름,자치구 코드,자치구 이름,점검일자
297534,207,관악신사시장(신림4동),72,햄 300g,,4500,Jan-24,,1,전통시장,620000,관악구,2024-01-24
297533,207,관악신사시장(신림4동),28,풋고추 100g,,980,Jan-24,,1,전통시장,620000,관악구,2024-01-24
297532,207,관악신사시장(신림4동),5,포도(샤인머스켓) 1kg,,0,Jan-24,,1,전통시장,620000,관악구,2024-01-24
297531,207,관악신사시장(신림4동),27,파프리카 200g,,3500,Jan-24,,1,전통시장,620000,관악구,2024-01-24
297530,207,관악신사시장(신림4동),65,통조림(참치) 150g,,3300,Jan-24,,1,전통시장,620000,관악구,2024-01-24
297529,207,관악신사시장(신림4동),24,토마토 1kg ,,5980,Jan-24,,1,전통시장,620000,관악구,2024-01-24
297528,207,관악신사시장(신림4동),21,콩나물 340g,,1500,Jan-24,,1,전통시장,620000,관악구,2024-01-24
297527,207,관악신사시장(신림4동),30,콩 1kg,,11800,Jan-24,,1,전통시장,620000,관악구,2024-01-24
297526,207,관악신사시장(신림4동),88,콜라 1.5L(1병),,2980,Jan-24,,1,전통시장,620000,관악구,2024-01-24
297525,207,관악신사시장(신림4동),53,케찹 500g,,2750,Jan-24,,1,전통시장,620000,관악구,2024-01-24
297524,207,관악신사시장(신림4동),62,컵라면 1개,,1250,Jan-24,,1,전통시장,620000,관악구,2024-01-24
297523,207,관악신사시장(신림4동),82,칫솔 5개 2묶음,,5980,Jan-24,,1,전통시장,620000,관악구,2024-01-24
297522,207,관악신사시장(신림4동),59,치즈 180g,,9500,Jan-24,,1,전통시장,620000,관악구,2024-01-24
297521,207,관악신사시장(신림4동),81,치약 160g 1개,,0,Jan-24,,1,전통시장,620000,관악구,2024-01-24
297520,207,관악신사시장(신림4동),9,참외 1개,,0,Jan-24,,1,전통시장,620000,관악구,2024-01-24
