"시점",총지수,식료품 및 비주류음료,식료품 및 비주류음료,식료품 및 비주류음료,주류·담배,주류·담배,주류·담배,의복·신발,의복·신발,의복·신발,주택·수도·전기 및 연료,주택·수도·전기 및 연료,주택·수도·전기 및 연료,주택·수도·전기 및 연료,주택·수도·전기 및 연료,가정용품 및 가사서비스,가정용품 및 가사서비스,가정용품 및 가사서비스,가정용품 및 가사서비스,가정용품 및 가사서비스,가정용품 및 가사서비스,가정용품 및 가사서비스,보건,보건,보건,보건,교통,교통,교통,교통,통신,통신,통신,통신,오락 및 문화,오락 및 문화,오락 및 문화,오락 및 문화,오락 및 문화,오락 및 문화,오락 및 문화,교육,교육,교육,교육,음식 및 숙박,음식 및 숙박,음식 및 숙박,기타 상품 및 서비스,기타 상품 및 서비스,기타 상품 및 서비스,기타 상품 및 서비스
"시점",소계,소계,식료품,비주류음료,소계,주류,담배,소계,의류,신발,소계,주택임차료,주거시설 유지·보수,수도 및 주거관련 서비스,전기가스 및 기타연료,소계,가구·가사비품 및 카페트,가정용 섬유제품,가정용 기기,주방용품 및 가정용품,가정·정원용 공구 및 장비,일상 생활용품 및 가사서비스,소계,의료용품 및 장비,외래환자 서비스,병원서비스,소계,운송장비,개인운송장비 운영,운송서비스,소계,우편서비스,전화 및 팩스장비,전화 및 팩스서비스,소계,음향·영상·사진 및 정보처리 장비,기타 오락 및 문화용 주요내구재,기타 오락용품·조경용품 및 애완동물,오락 및 문화서비스,신문·서적 및 문방구,단체여행,소계,유치원 및 초등교육,고등교육,기타교육,소계,음식서비스,숙박서비스,소계,미용용품 및 미용서비스,기타 개인용품,기타 서비스
"2019. 01",98.76,94.92,94.59,99.99,98.70,96.43,100.00,98.31,99.00,94.00,98.67,99.20,94.86,93.11,102.02,98.50,99.17,95.86,100.77,95.03,99.97,96.40,98.18,97.53,98.03,100.44,99.10,99.42,101.34,96.89,103.29,89.64,99.44,104.25,100.76,103.56,105.28,99.33,98.34,99.99,103.38,101.96,100.34,100.74,97.02,98.80,98.97,94.48,97.16,98.05,97.86,95.57
"2019. 02",99.26,95.56,95.27,99.67,98.55,96.01,100.00,98.90,98.99,98.32,99.68,99.23,95.19,100.89,102.01,99.74,100.59,95.52,102.05,99.18,100.21,97.32,98.27,97.89,98.03,100.10,99.51,99.27,100.33,98.93,102.43,89.64,96.91,103.78,101.63,103.24,104.64,100.69,98.66,100.38,105.29,102.04,100.34,100.74,97.14,98.86,99.06,94.14,97.73,98.83,98.54,95.79
"2019. 03",99.06,94.69,94.32,100.17,98.28,95.24,100.00,98.93,99.01,98.34,99.54,99.23,95.66,99.61,102.00,99.81,100.59,96.37,101.99,96.44,100.20,98.09,98.24,97.86,97.98,100.10,99.72,99.07,100.92,99.04,102.14,89.64,96.91,103.44,100.82,102.37,104.28,100.55,98.83,100.32,102.82,102.34,102.51,100.51,97.48,98.54,98.78,92.67,97.85,99.20,97.80,95.91
"2019. 04",99.44,95.85,95.60,99.76,99.16,97.69,100.00,98.79,98.86,98.34,99.35,99.23,96.30,97.89,102.02,100.56,100.42,97.09,103.05,99.82,100.25,98.63,98.33,98.36,97.77,100.10,100.82,99.46,103.26,99.48,102.43,89.64,99.42,103.18,102.00,103.50,103.62,98.36,99.16,100.57,106.77,102.37,102.51,100.51,97.54,98.75,99.00,92.66,98.18,99.12,99.48,96.29
"2019. 05",99.49,95.28,95.02,99.21,99.52,98.67,100.00,98.92,99.01,98.34,99.42,99.23,97.03,98.26,102.02,99.50,96.65,97.09,102.07,100.36,100.12,98.64,98.38,98.46,97.77,100.07,102.30,99.30,107.43,99.59,102.22,100.00,99.42,102.89,101.45,104.29,104.38,97.29,99.16,100.67,105.09,102.41,102.51,100.51,97.58,98.85,99.07,93.84,98.49,99.75,99.31,96.30
"2019. 06",99.36,94.49,94.15,99.59,99.81,99.48,100.00,99.04,99.01,99.11,99.35,99.19,97.23,97.80,102.03,99.27,96.54,97.12,101.74,99.25,99.47,98.63,98.68,99.29,97.77,100.07,102.55,99.01,108.12,99.77,102.05,100.00,99.42,102.69,100.33,104.06,103.75,94.91,99.25,100.90,102.28,102.55,102.51,100.51,97.78,98.98,99.19,93.65,98.32,99.45,98.65,96.52
"2019. 07",99.11,93.18,92.71,100.07,99.71,99.22,100.00,99.03,99.00,99.10,98.52,99.23,97.58,97.39,96.35,100.23,100.68,97.25,101.71,99.31,97.71,99.44,98.41,98.68,97.76,99.79,102.32,99.30,106.55,100.46,101.62,100.00,97.60,102.59,102.21,103.28,100.49,95.57,99.28,100.99,108.45,102.49,102.51,100.51,97.70,99.13,99.23,96.94,98.37,99.49,98.84,96.52
"2019. 08",99.39,94.37,93.97,100.41,99.78,99.41,100.00,99.03,99.00,99.10,98.56,99.23,97.68,97.50,96.50,100.07,100.39,97.25,100.81,101.59,97.78,99.60,98.47,98.85,97.76,99.79,102.49,98.81,106.57,101.16,102.01,100.00,100.06,102.48,103.22,101.72,100.41,95.79,99.23,100.90,112.29,102.51,102.51,100.51,97.73,99.39,99.30,101.46,98.31,99.39,98.79,96.55
"2019. 09",99.73,97.25,97.02,100.71,100.14,100.38,100.00,99.06,99.00,99.37,99.60,99.24,97.77,97.10,104.05,99.68,100.18,97.25,100.47,96.00,98.14,100.02,98.60,99.29,97.82,99.37,102.54,98.47,108.29,99.94,102.29,100.00,101.86,102.39,101.89,100.52,97.47,97.28,99.22,101.00,107.78,100.72,102.51,100.51,97.87,99.23,99.36,96.07,98.24,98.57,101.10,96.55
"2019. 10",99.95,97.54,97.25,101.82,100.21,100.60,100.00,99.25,99.23,99.37,99.82,99.32,98.75,98.09,104.05,100.42,100.01,96.91,101.78,102.11,97.86,99.92,98.63,99.33,97.84,99.37,102.59,98.52,108.72,99.68,102.23,100.00,101.86,102.31,102.41,101.90,99.86,98.61,99.28,100.79,108.46,101.11,102.51,100.51,98.44,99.30,99.43,96.08,98.40,98.86,100.95,96.66
"2019. 11",99.42,94.86,94.56,99.44,100.03,100.08,100.00,99.82,99.90,99.37,99.83,99.38,98.74,97.84,104.05,99.70,100.24,98.45,101.14,95.20,99.99,98.79,98.60,99.34,97.84,99.14,102.02,97.40,108.06,99.51,101.43,100.00,98.24,102.20,100.41,102.07,99.26,98.83,99.29,101.14,101.61,101.26,102.51,100.51,98.65,99.35,99.50,95.70,98.47,98.97,100.94,96.66
"2019. 12",99.61,95.99,95.82,98.26,100.02,100.05,100.00,99.83,99.91,99.37,99.93,99.41,98.83,98.42,104.05,100.05,100.15,98.80,100.74,101.60,99.99,99.07,98.65,99.48,97.84,99.14,102.31,98.21,108.30,99.54,101.38,100.00,98.24,102.13,99.47,102.40,98.89,99.09,99.48,101.06,98.17,101.33,102.51,100.51,98.75,99.61,99.71,97.07,98.39,98.95,100.58,96.66
"2020. 01",99.80,97.12,96.90,99.98,100.25,100.60,100.00,99.57,99.82,98.08,99.86,99.48,99.44,97.92,104.09,99.63,99.27,98.99,100.27,98.31,98.71,99.69,100.47,100.83,99.92,101.24,103.57,100.20,108.55,100.04,100.82,100.00,96.36,102.04,99.99,100.96,99.78,99.89,99.72,100.17,99.26,99.72,102.50,100.48,99.42,99.73,99.63,102.29,99.45,99.60,100.58,98.87
"2020. 02",99.84,96.59,96.45,98.49,100.18,100.43,100.00,99.72,99.82,99.12,100.22,99.56,99.24,100.33,104.11,100.35,100.08,98.84,100.97,103.41,99.08,99.32,100.36,101.17,99.92,99.56,103.60,101.51,108.05,99.85,100.77,100.00,96.36,101.99,99.79,100.13,99.60,100.25,99.81,100.24,96.62,99.85,102.50,100.48,99.60,99.55,99.56,99.33,99.83,99.81,100.59,99.61
"2020. 03",99.83,98.24,98.13,99.63,99.87,99.69,100.00,99.76,99.87,99.10,100.31,99.65,99.44,100.43,104.10,99.72,100.09,98.84,99.96,99.54,99.34,99.50,100.36,101.05,99.86,100.06,101.28,98.60,104.27,99.57,100.73,100.00,96.36,101.94,99.28,99.36,100.28,99.01,99.83,99.92,95.15,99.94,102.50,100.10,99.81,99.42,99.55,96.18,99.86,99.77,100.95,99.61
"2020. 04",99.61,98.00,97.79,100.68,99.76,99.42,100.00,99.36,99.85,96.36,100.29,99.73,99.54,99.92,104.05,99.82,99.50,98.84,100.23,100.58,99.07,99.58,100.41,101.07,99.95,100.06,98.79,98.57,98.24,99.56,101.33,100.00,99.36,101.87,99.72,99.36,98.71,99.43,99.79,100.02,100.54,99.99,102.50,100.10,99.87,99.51,99.63,96.76,99.32,98.95,98.00,100.26
"2020. 05",99.65,98.45,98.27,100.83,99.90,99.76,100.00,99.94,100.04,99.32,100.19,99.87,99.54,98.33,104.01,100.25,100.09,98.84,99.93,103.97,98.61,100.22,100.45,101.11,100.02,100.06,97.12,98.84,93.99,99.58,101.28,100.00,99.36,101.81,100.15,101.44,97.95,100.35,99.57,100.09,100.37,99.88,98.75,100.10,99.86,99.74,99.79,98.65,99.81,99.41,100.14,100.24
"2020. 06",99.91,99.18,99.07,100.61,100.00,99.99,100.00,99.95,100.05,99.32,100.31,99.93,99.74,98.87,104.04,99.68,99.51,101.29,100.22,95.87,98.77,100.01,100.85,102.12,100.02,100.06,98.22,98.88,96.61,99.63,101.84,100.00,102.22,101.74,99.96,101.04,97.61,99.96,100.00,100.05,97.15,99.90,98.75,100.10,99.89,99.83,99.90,97.99,100.04,100.06,99.30,100.25
